Glottocode,Family_ID,GPGLMM_3D_Mean,GPGLMM_3D_SE,Isolate_Flag,GPGLMM_2D_Mean,GPGLMM_2D_SE,Verkerk_BRMS_Mean,Verkerk_BRMS_SE
abad1241,aust1307,-1.532379479993617,0.026269327803795043,0,-1.4649979979614993,0.018797116308098074,0.6305302312359999,1.30796759642284
abau1245,sepi1257,-2.6654120927870424,0.14199360247374912,0,-3.045482628527242,0.07831240962937615,-1.538634304456,1.55292881423965
abee1242,atla1278,-1.7396933136756931,0.08216079508119711,0,-1.5184816004097428,0.05346185950082546,-0.24429011241624998,1.3578342165406299
aben1249,aust1307,-0.8001892837029914,0.07885137913475683,0,-0.7016820866085806,0.05458750377632799,0.54433228490525,1.32377957356975
abkh1244,abkh1242,-2.2584082488635637,0.22650848027818224,0,-2.789947751718368,0.032710849454446966,-2.6102575722575,1.72217177035045
abun1252,abun1252,-1.5289301915877431,0.09166814031209104,1,-1.7885187944723293,0.05270288341743195,-1.4179544817835001,1.587912981360215
achi1257,aust1307,0.02244241553436495,0.11920821441624943,0,0.12840983716774307,0.09403184206838378,1.0408281548668001,1.3126364417623302
acha1250,araw1281,-2.416702587666766,0.10395292474527972,0,-2.166169046918319,0.04084788712743626,-1.11162444581,1.428490519731305
achi1256,maya1287,-2.806900772112786,0.14362442391493352,0,-3.153091932125074,0.07119466772541753,-1.3844060895124999,1.532505370043955
achu1248,jiva1245,-1.8870878262116368,0.14220858487805607,0,-2.356643323335092,0.04914081994532343,-1.2465850936225,1.528030818721045
achu1247,pala1350,-1.5443416405300892,0.11326296288652907,0,-1.9526943551534168,0.03757863576989259,-0.47080831874475,1.5490057508891302
acol1236,nilo1247,-0.26380210910078383,0.1368258513007896,0,0.0868687404779684,0.07545550721183777,1.2733061905010001,1.424856276946515
adan1251,timo1261,-0.5333718232616057,0.060738387486031914,0,-0.43644758665254674,0.03880625552688538,-0.572586001354,1.5161013173510351
adon1237,aust1307,-0.5738556511184115,0.06816418290034622,0,-0.4300041340125642,0.03580852681586988,0.6996567882757501,1.32138705007046
aeky1238,kamu1264,-2.7423195025487708,0.09612089881854678,0,-2.8504547145118817,0.04945400943697965,-1.4016263304974999,1.58299699709726
afad1236,afro1255,-1.2423863520869491,0.08311198457147458,0,-1.1547196624089502,0.059175735404823786,-0.08594342753475,1.342704984037775
afar1241,afro1255,-1.22419840789275,0.07520220710754333,0,-1.363150404312599,0.031104332176175226,-0.6594513223845,1.360426456680365
aghe1239,atla1278,-1.285246959885384,0.08205806197689096,0,-1.2588604061789184,0.05729345494767528,-0.31377146300000003,1.40834944656639
aghu1255,nucl1709,-3.03563374822694,0.2222996631019373,0,-3.856693169724029,0.048781560273234485,-2.3362799120297497,1.54778847879607
agob1244,paho1240,-2.6107084305020005,0.19243600729671606,0,-2.927577623422824,0.10639081442263357,-1.3675465562162499,1.5718495129533
agua1253,jiva1245,-1.9334500720780152,0.16218211569252797,0,-2.4257570673465354,0.05170898172575826,-1.244433218545,1.52957063463975
agus1235,aust1307,-0.44418552050430693,0.08547814090591563,0,-0.5439865380774881,0.06633034665554852,0.650845999655,1.314913583516045
agut1237,aust1307,-0.8410029303595612,0.07063363990085708,0,-0.7590403966702125,0.051976422123252056,0.58627954888025,1.323771505482605
aime1238,bosa1245,-2.8578580364986372,0.13835087323605755,0,-2.9751591866219287,0.09481224644947614,-1.44028925367,1.57762951260301
musa1266,nucl1709,-3.2982735407318695,0.18090302562872718,0,-4.011036070905252,0.043779278606544125,-2.1499261882965,1.5648490441851202
aito1238,taik1256,-2.2933495917080258,0.11301218593416917,0,-2.5581862008152885,0.06386689911984077,-0.722991193745,1.43489133583722
ayiw1239,aust1307,-0.9171049541323322,0.07927539571531311,0,-0.6990037672257602,0.03168126906400509,0.5951593283965,1.3323841672424601
ajab1235,atla1278,-0.8418627468839401,0.1102940698367193,0,-0.9954716674475712,0.09459151765975958,-0.02639585851755,1.35910574390702
ajas1235,kres1240,-0.0571284759961689,0.0853288144995519,0,0.2577778681301057,0.03586780889333837,1.10892637276,1.579797242677305
ajie1238,aust1307,-0.5294534972013974,0.06796845293740245,0,-0.5087230357331398,0.052252471003597256,0.728147706529805,1.31077709059807
west2635,maya1287,-2.4512450610712615,0.18334008699789936,0,-3.028632214001913,0.05168044641333951,-1.4021804101700002,1.5344228814661949
akei1237,aust1307,-0.7882089997876556,0.06514198775830833,0,-0.7360281139305735,0.044899453279292595,0.5940548561247501,1.32002946651633
akoo1248,atla1278,-1.5414547887543009,0.06904980771296713,0,-1.4032920396256487,0.04455722561897448,0.055454843125,1.353589895283285
akun1241,tupi1275,-1.1882625520990437,0.11279823407060467,0,-1.1405269990208196,0.07018801269740213,-0.7692477537025,1.4542406328045652
alab1254,afro1255,-0.8324389172347244,0.08171402488618389,0,-0.8793490774051262,0.06334777569262066,-0.46138672118275,1.3452460812721698
alac1244,otom1299,-1.978013236890206,0.12221076540505688,0,-2.2817626060284284,0.04173930693839836,-1.1866921766687502,1.477423737483835
alag1248,afro1255,-1.0130083855863505,0.05484927532900597,0,-1.1764257965906435,0.03006751196972199,-0.64211550448275,1.3695609183997601
alam1246,sepi1257,-2.9680584515426864,0.16477383298963774,0,-3.2501109389904546,0.10824288671299508,-1.5254269681635,1.56113631744561
aleu1260,eski1264,-0.4371462903564959,0.09252226327573661,0,-0.1480686192137804,0.043135532924083626,0.3776563470145,1.5052660164362899
alor1247,aust1307,-0.31777666766976453,0.06920372378687503,0,-0.3230361072290659,0.0552573897424084,0.7512514141594,1.32563898776403
aluk1238,drav1251,-2.1462406871457818,0.10113843608131821,0,-1.9225684447697406,0.04892919146738173,-0.7455413530626,1.429724056061395
amah1246,pano1259,-2.031382973028736,0.08066406532191255,0,-2.0807321654517548,0.050561862848660676,-1.03126858112375,1.438358042129995
amam1246,kuni1270,-2.5891110065218617,0.14996521999695422,0,-2.8558444383726744,0.08152361764371827,-1.5013653883765001,1.56094475414761
amap1240,left1242,-2.5393262499531892,0.12550766980228778,0,-2.6920117160437886,0.07716097144070191,-1.48377026934575,1.572602672696735
amas1236,nyim1244,-0.9748073489592827,0.07817888036666412,0,-1.1563337812252346,0.05019700531633368,-0.21038637730749998,1.662093526003955
ambu1247,nduu1242,-2.754196393854585,0.15259538262638228,0,-2.956814168379905,0.09499944901401837,-1.5327918787255,1.584829293682715
amdo1237,sino1245,-2.029867696231782,0.1107725452808038,0,-1.7056869954483174,0.04457071415633363,-0.43441323304425,1.35027365139106
amii1238,west2434,-1.5894572918197638,0.13293085032549704,0,-1.5334520711479878,0.10028866679580926,-1.14701221436525,1.534797005111105
amis1246,aust1307,0.6902119615346247,0.08777531323852816,0,0.5658704088355067,0.06158640099040829,1.0042461704535,1.3748339219502301
hoaa1235,kxaa1236,-0.9043691753446469,0.08549361497026625,0,-0.6487977793395178,0.04536777914153689,1.14006948899475,1.6850590078618701
amri1238,sino1245,-1.791891383027055,0.09945442621154309,0,-1.5092882587229066,0.02858284273323957,-0.0104680186174,1.34687965418124
gily1242,nivk1234,-1.8463129204933684,0.05143518617924326,0,-1.916284511588843,0.03576451105933262,-1.01860754570925,1.832266644390935
anei1239,aust1307,-0.6592126944039182,0.0751287588088085,0,-0.8301749139430268,0.039375828397400704,0.53721599525305,1.3217842089395702
anem1249,anem1249,-2.322401917511981,0.06590468438140402,1,-2.442864514397928,0.04606246801700895,-1.40597497459425,1.60636921413992
anfi1235,gong1255,-1.2128343295422113,0.2183373348969117,0,-2.125764226868183,0.05852863729827601,-1.0621654375132499,1.512557951501095
anga1288,sino1245,-0.6868161271564073,0.0838896237977472,0,-0.9043573326344261,0.05751617161458031,0.2248898261085,1.36326532620394
ango1257,chib1249,-1.5471828673051018,0.09218620728306465,0,-1.4421600489331206,0.05207166676422223,-0.84836504529625,1.412863940833345
wara1294,more1255,-2.589625414939494,0.1255397226236082,0,-2.9775655163837653,0.026555084449306085,-1.4511024049025,1.5608723938676
anuf1239,atla1278,-1.2425845553454606,0.068544071269758,0,-1.152849748709857,0.04705600432406432,-0.251890989865,1.355689213518605
anuu1241,sino1245,-1.1668183209277263,0.108269314921366,0,-0.9912185920463148,0.061129844128314466,-0.1867091547965,1.35201126510041
aona1235,sino1245,-0.9746741424535244,0.040113475352847525,0,-1.0770178674114743,0.01926865832565346,0.14895114218650002,1.35193293402548
aoua1234,taik1256,-1.9294772639991182,0.09784319080363876,0,-2.076395312902952,0.07193358701656294,-0.745577441613325,1.462074605857
apat1240,sino1245,-1.4489284486097804,0.0684976541216034,0,-1.3930122885891705,0.045478784317496405,-0.376543275289,1.352075411121175
apin1244,nucl1710,-1.3860451339327158,0.08516002827581527,0,-1.6859191898677945,0.031938094975250096,-0.91417880305,1.467353913939215
apma1240,aust1307,-0.8754552520534873,0.07682818242329788,0,-0.8375374353780466,0.05337682276174282,0.660479445072125,1.311865109461805
apma1241,kera1258,-2.7091872143263864,0.11240524716708741,0,-2.863926418597825,0.06689701781777571,-1.361972491482025,1.5935463552102398
apur1254,araw1281,-1.3102600814058312,0.1558679469596463,0,-1.7231300693762126,0.08294768132686124,-0.9995395716875,1.4306622813751049
