Glottocode,Family_ID,GPGLMM_3D_Mean,GPGLMM_3D_SE,Isolate_Flag,GPGLMM_2D_Mean,GPGLMM_2D_SE,Verkerk_BRMS_Mean,Verkerk_BRMS_SE
abau1245,sepi1257,-14.48909435356455,1.3228196867072788,0,-14.556934743541248,1.8027529149443204,-8.862258786925,5.8084091015202155
abee1242,atla1278,-4.61982064478884,0.14179444713776237,0,-4.618854933049825,0.12283538596179919,-7.612952853145,5.21838074312199
abkh1244,abkh1242,-11.12001950216397,1.0690005121247028,0,-10.704968078599151,1.2777037906587183,-6.409344536235,6.071797132987999
abua1245,nucl1708,-14.752418177853068,1.3271883712698342,0,-14.813996712428736,1.799734307206879,-8.45399260798,5.7792963377225
abui1241,timo1261,-13.766168593575394,1.2975365975506408,0,-13.852803821351785,1.6938569249979614,-8.733485260504999,6.03791079422514
abun1252,abun1252,-13.796378582724323,1.328031277425439,1,-13.867739553244693,1.7416080654797712,-8.441149842075,5.99494870743764
achi1257,aust1307,-1.6704177593730778,0.10981264452825155,0,-1.6879759418913416,0.07834084310999812,-1.5576422450399998,4.233959890107155
acha1250,araw1281,-1.1613580181489773,0.1422882746382882,0,-1.1741220683280815,0.09301794609041013,2.0383664365,4.209075711877215
achi1256,maya1287,1.1631137961342928,0.21722878475197202,0,1.1232332239776133,0.13248769508411004,0.30610216351999997,4.483198237799785
achu1248,jiva1245,-8.529072073618345,0.8990483024395168,0,-8.430888478392376,1.0160270830007405,-2.921596173875,5.012762066762885
adan1251,timo1261,-13.727144930026192,1.2968295291120893,0,-13.818752705284599,1.6897956598741601,-8.7407568875775,6.01653704951617
adon1237,aust1307,-3.1612469572107127,0.09826312460571555,0,-3.1521614205475146,0.10457815063964931,-2.2435449755725,4.32355936157734
adze1240,aust1307,-6.032451905340993,0.4717086089154511,0,-6.064468932157376,0.4440904440274117,-1.9739158700875001,4.320272542444105
afar1241,afro1255,-4.002737817430865,0.164459271202209,0,-4.006345989106618,0.27432749902164993,-2.83022693847,4.524901627872075
aghe1239,atla1278,-6.273104791097742,0.31839063084787234,0,-6.314755756362288,0.27989312199419625,-7.263524199507501,5.231880936980231
aghu1255,nucl1709,-14.086480321507656,1.281227128421019,0,-14.136909518531564,1.7272458509595732,-9.533631055025001,5.68563788155767
agob1244,paho1240,-14.14303050131032,1.3292188486614618,0,-14.191643522575177,1.8012418672362593,-8.932775366125,5.88707383885333
agut1237,aust1307,2.8413523023763325,0.16192137887204466,0,2.865114029417798,0.15047888689846356,3.085877172891,4.1925469551323555
ahin1234,aust1307,2.887628588732933,0.15512573966270232,0,2.897052426578769,0.10837712436537217,3.0932757612325004,4.174707349703326
aime1238,bosa1245,-14.5454546513539,1.345196289834961,0,-14.611636965143607,1.811449521085662,-8.441333533375,5.773527675099235
musa1266,nucl1709,-15.175936037988095,1.2933103514793864,0,-15.24701470273192,1.68736546342549,-9.293435969885,5.786122517292229
aito1238,taik1256,-11.88830716000227,1.1986561144262435,0,-11.593827130552423,1.4189929715080833,-6.275122618419999,5.758921643998945
ayiw1239,aust1307,-1.9694062655460245,0.10669360435610031,0,-1.965790795027843,0.04751604456380346,-0.91719705483575,4.2331764041188
ajab1235,atla1278,-4.663822396441351,0.26668623732106955,0,-4.688857128079958,0.2204604510216562,-7.6128870798,5.253907873916315
ajas1235,kres1240,-12.101942956735563,1.3348882704780813,0,-11.881332679921126,1.6061633195505196,-6.77308889770375,6.442415765270026
