Glottocode,Family_ID,GPGLMM_3D_Mean,GPGLMM_3D_SE,Isolate_Flag,GPGLMM_2D_Mean,GPGLMM_2D_SE,Verkerk_BRMS_Mean,Verkerk_BRMS_SE
abad1241,aust1307,-3.993840926827179,0.04008418161745798,0,-4.005670219278488,0.047521790193685486,-2.593409205795,3.018365229478825
abee1242,atla1278,-4.085357759047569,0.04867827392147348,0,-4.183198122583676,0.042497629445537775,-3.536284563451,3.2228903887295948
abkh1244,abkh1242,-2.1356132897445548,0.12315574145250532,0,-2.101532472295123,0.023972469014981235,0.2962368674,3.291106449948815
abua1245,nucl1708,-3.046107666919838,0.10346593578892217,0,-2.9405179488973427,0.07091806522792382,-2.1648075852325004,3.56491436573298
abun1252,abun1252,-2.755979716472324,0.08774799631565584,1,-2.7405928871759104,0.10480632445728182,-2.0746446180625,3.762625214847775
achi1257,aust1307,-2.4786281190443322,0.05424796411419196,0,-2.548025335685261,0.04833132511495728,-2.54111629549125,2.931229544765785
acha1250,araw1281,-0.647338342776403,0.01552440589748517,0,-0.6376678994686626,0.019236604485193612,-1.2720721584687502,2.997511090761655
ache1245,narr1279,-3.022148416290351,0.03589535491456176,0,-3.0299309481735666,0.04149441584019649,-4.9344151773525,4.107048486181229
achi1256,maya1287,0.5386960431628917,0.02255629542910473,0,0.5205500860495296,0.025045429289694433,0.0947527351025,3.06760035985405
achu1248,jiva1245,-3.219014774140562,0.10474364448800579,0,-3.1205083777226847,0.021384681937623464,-2.61351236630475,3.3673966007743052
acol1236,nilo1247,-2.047541817979255,0.044902486565476386,0,-2.0608881108689983,0.05472003944995811,-2.0993501418125,3.10780508773506
adan1251,timo1261,-3.6443085674188676,0.03746602103690335,0,-3.674197631045417,0.03462467729735097,-1.8151806617325001,3.7635760971121153
adon1237,aust1307,-4.879202957768742,0.03667704119766159,0,-4.948253934032554,0.03587595242392965,-2.3890431849275,3.0425225176098447
adze1240,aust1307,-3.5447372053534463,0.03983218284493831,0,-3.543465325603343,0.03629417316593565,-2.54862670400225,3.0421401723079597
afad1236,afro1255,-2.408687639272819,0.046904281076024186,0,-2.411551088771251,0.056734942328804466,-0.770394601737575,2.93895609382676
afar1241,afro1255,0.6532483349312701,0.029037385193267557,0,0.6717702994427945,0.02350115577308167,-1.2087972919249999,2.956683424454825
aghe1239,atla1278,-2.7930309098788975,0.03380660861593666,0,-2.797126976287996,0.03607224313422948,-3.91936001909075,3.34045219540866
aghu1255,nucl1709,-3.1185973236598175,0.06149734902002265,0,-3.1277763241147456,0.06918944500162677,-1.660372852035,3.2515956275883404
agob1244,paho1240,-2.8521839672878966,0.053780466802106734,0,-2.7967683294196393,0.03454242920755656,-2.1266216143749253,3.65498539003823
