Glottocode,Family_ID,GPGLMM_3D_Mean,GPGLMM_3D_SE,Isolate_Flag,GPGLMM_2D_Mean,GPGLMM_2D_SE,Verkerk_BRMS_Mean,Verkerk_BRMS_SE
abee1242,atla1278,3.8939338652299536,0.0189016923754616,0,3.937668373191085,0.01845479970255347,6.681108073240001,4.57805048837565
abkh1244,abkh1242,3.959084245056194,0.0421472363720412,0,4.161105848536426,0.017973591509581523,3.7046709886075,5.289165591738385
abun1252,abun1252,4.951339356985256,0.07020605139784838,1,5.362857573205512,0.027661154715452243,5.783615377917425,5.31932341949101
achi1257,aust1307,0.4672462185727988,0.0348453202213341,0,0.4577557647999106,0.01305551380877106,0.2536114877355,3.73323179926906
acha1250,araw1281,0.23552630274931396,0.02168849115504798,0,0.2381097863685848,0.01118863898185698,-1.52908383864645,3.93503334823416
achi1256,maya1287,-1.6512147923118028,0.026511959247814864,0,-1.646300461419493,0.020712428096746886,-1.607817694436,4.051464004020705
achu1248,jiva1245,3.1187808100450822,0.02524179857151653,0,3.3820088651593667,0.01633142458804131,3.2959290226205002,4.38282774185721
acol1236,nilo1247,0.6546520325352274,0.019374494321093824,0,0.682818421397575,0.015814047000031934,1.6729101218468,4.059297052638885
adan1251,timo1261,4.471908561420721,0.051735008402439484,0,4.848618106573541,0.049357217105551625,5.741510175369999,5.313971474455441
adon1237,aust1307,1.746480480466261,0.025326550920346146,0,1.7853114141237683,0.016967995760789535,1.4405179229675,3.832537689322805
adze1240,aust1307,2.402268649011268,0.02067035026303468,0,2.385409258742099,0.013753145431579369,0.97469010598225,3.79969024136419
afar1241,afro1255,1.7692783807232255,0.08386445246540139,0,1.726596968759753,0.013174338410317524,2.448258981793,4.13101877811874
aghe1239,atla1278,4.379441040956162,0.01839181447191453,0,4.425728961250226,0.016870902405461904,5.942768190755,4.601204388276445
aghu1255,nucl1709,5.824469334546897,0.08705789096643297,0,6.209509967606651,0.03827793686715302,7.3809456604640005,5.040520061928575
agob1244,paho1240,5.037012188805576,0.10804102007600279,0,5.3074528200694235,0.034088928158892244,5.9864240452775,5.239259463502975
agua1253,jiva1245,3.316215962889326,0.02594192242901347,0,3.5976169379678837,0.02400268938493777,3.25337368387325,4.401758689238745
agut1237,aust1307,-2.399429653114053,0.06390405870379808,0,-2.4041040111647307,0.020370294456728034,-4.1859568081675,3.814182926912435
ahin1234,aust1307,-2.667384350450951,0.06125811099694919,0,-2.6530339850813562,0.016270426902692245,-4.474283813315,3.7973515782715497
