code	Konstanz.Archive.number	URL.number	Basis	Variants	Universal	Universal.short	Universal.shorter	Domain_general	Domain_if_part	Domain_then_part	formal.formula	harmony_status	Details.source	Details.source2	citation.scores	Size..review.of.original.	Bias.in.sample..review.of.original.	Bias.2	Bias.3	Sense..review.of.original.	Implementation..review.of.original.	Implementation..review.of.original..1	BT_EDGE_BF	brmsQ_Fixed_V3_Estimate	brmsQ_Fixed_V3_low_95_CI	brmsQ_Fixed_V3_upp_95_CI	brmsQ_Fixed_V3_SIG	uncon_Fixed_V3_Estimate	uncon_Fixed_V3_low_95_CI	uncon_Fixed_V3_upp_95_CI	uncon_Fixed_V3_SIG	FAM_Fixed_V3_Estimate	FAM_Fixed_V3_low_95_CI	FAM_Fixed_V3_upp_95_CI	FAM_Fixed_V3_SIG	median_BF	o95HDI_lower	o95HDI_higher	o95HDI_SIG	brms_spa_phy_median_Estimate	brms_spa_phy_median_l_95_CI	brms_spa_phy_median_u_95_CI	brms_support	supported
0057bKA	57	57	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 86, #18"	b	"Universal 18. When the descriptive adjective precedes the noun, the demonstrative and the numeral, with overwhelmingly more than chance frequency, do likewise."	Adj-N > Dem-N	Adj-N > Dem-N	narrow word order	word order	word order	GB193:1 > GB025:1	"Adj N order is not correlated with other word orders, Dryer 1988"	Greenberg 1963 no. 18	Greenberg 1963	6329	30	"yes, definitely biased towards Eurasia/Europe"	bias towards Eurasia	bias towards Eurasia	Rijkhoff (1992: Chap 9) is a follow-up study	perfect	perfect	61.052369	1.59733361	0.31632225	2.7436207	SIG	2.294941	2.040221	2.563473	SIG	1.82398142	0.24936967	3.3618579	SIG	63.6754175	55.745815	81.172753	SIG	1.703619549	0.351967063	2.87927175	yes	SIG
0062aKA	62	62	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 91, #24"	a	"Universal 24. If the relative expression precedes the noun either as the only construction or as an alternate construction, either the language is postpositional, or the adjective precedes the noun or both."	Rel-N > Adj-N	Rel-N > Adj-N	narrow word order	word order	word order	GB328:1 > GB193:1	"Adj N order is not correlated with other word orders, Dryer 1988"	Greenberg 1963 no. 24	Greenberg 1963	6329	30	"yes, definitely biased towards Eurasia/Europe"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	13.588996	0.87252686	-0.14578782	1.9093987	NOT SIG	1.492988	1.239009	1.745081	SIG	1.5120894	0.19435905	3.03159801	SIG	7.0894285	-0.022867	17.08411	NOT SIG	0.953050433	-0.097087042	2.0004495	no	NOT SIG
0062bKA	62	62	"30 languages of Greenberg 1963 sample Source Greenberg 1963: 91, #24"	b	"Universal 24. If the relative expression precedes the noun either as the only construction or as an alternate construction, either the language is postpositional, or the adjective precedes the noun or both."	Rel-N > N-Adp	Rel-N > N-Adp	narrow word order	word order	word order	GB328:1 > GB075:1	BDT Dryer 1992	Greenberg 1963 no. 24	Greenberg 1963	6329	30	"yes, definitely biased towards Eurasia/Europe"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	15.257025	1.7270181	0.69740327	2.7351745	SIG	2.073952	1.804002	2.349073	SIG	2.00956492	0.93787984	3.1343061	SIG	16.3365955	9.18783	31.754288	NOT SIG	1.898073739	0.805344613	2.942594625	yes	NOT SIG
0065_or_66KA	"65, see 66"	65	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 626; Hawkins 1980: 201; Hawkins 1983: 64	a	"If a language has SOV word order, then if the adjective precedes the noun, the genitive precedes the noun. If a language has dominant SOV order and the genitive follows the governing noun, then the adjective likewise follows the noun."	SOV & Adj-N > Gen-N	SOV & Adj-N > Gen-N	narrow word order	word order	word order	GB131:0 & GB132:0 & GB133:1 & GB193:1 > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 64	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	"OK, we can""t implement SOV (also including OSV in this implementation)"	OK	10.300903	1.796951	0.37501345	3.123045	SIG	2.109203	1.753013	2.48273	SIG	1.3291602	-0.86268187	3.3554968	NOT SIG	17.231291	9.508846	34.338548	NOT SIG	2.004177297	0.521350838	3.392125375	yes	NOT SIG
0067_or_68KA	"67, see 68"	67	"sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 226, Hawkins 1980: 201, Hawkins 1983: 65"	NA	"If a language has VSO word order, then if the adjective follows the noun, the genitive follows the noun."	VSO & N-Adj > N-Gen	VSO & N-Adj > N-Gen	narrow word order	word order	word order	GB131:1 & GB132:0 & GB133:0 & GB193:2 > GB065:2	consistent head-mod order Hawkins (1983)	"Hawkins 1979: 226, Hawkins 1980: 201, Hawkins 1983: 65"	Hawkins 1983	1978	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	"OK, we can""t implement VSO (also including VOS in this implementation)"	OK	13.033197	0.89777149	-0.19628592	2.1601116	NOT SIG	1.4616	1.030307	1.909791	SIG	1.80700897	0.15703393	3.5413877	SIG	18.1398375	10.331769	24.704384	SIG	1.017314128	-0.077958946	2.296118625	no	NOT SIG
0069KA	69	69	sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 627; Hawkins 1980: 202; Hawkins 1983: 66	NA	"If a language has Prep word order, then if the adjective follows the noun, the genitive follows the noun."	Adp-N & N-Adj > N-Gen	Adp-N & N-Adj > N-Gen	narrow word order	word order	word order	GB074:1 & GB193:2 > GB065:2	consistent head-mod order Hawkins (1983)	Hawkins 1979: 627; Hawkins 1980: 202; Hawkins 1983: 66	Hawkins 1983	1978	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	35.366212	1.6514415	0.34267089	3.094238	SIG	2.026816	1.811201	2.237507	SIG	2.4007411	0.8511865	3.9698947	SIG	40.9567975	31.142171	56.966384	SIG	1.780338492	0.484696263	3.203678125	yes	SIG
0070KA	70	70	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 67	NA	"If a language has prepositions and any verb position other than SVO, then if the adjectives follows the noun, the genitive follows the noun."	Adp-N & no SVO & N-Adj > N-Gen	Adp-N & no SVO & N-Adj > N-Gen	narrow word order	word order	word order	GB074:1 & GB132:0 & GB193:1 > GB065:2	mostly consistent head-mod order Hawkins (1983)	Hawkins 1983: 67	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	-5.73931	0.9475095	-0.89015399	2.5765638	NOT SIG	0.9555954	0.42668	1.454931	SIG	0.3691245	-1.62478221	2.0585583	NOT SIG	-7.6658395	-12.342837	-2.897908	NOT SIG	1.029255858	-0.726483012	2.5670125	no	NOT SIG
0071KA	71	71	"sample of 350 languages in Hawkins 1983 Source Hawkins 1979: 628, Hawkins 1980: 203, Hawkins 1983: 67"	NA	"If a language has Postp word order, and if the adjective precedes the noun, then the genitive precedes the noun."	N-Adp & Adj-N > Gen-N	N-Adp & Adj-N > Gen-N	narrow word order	word order	word order	GB075:1 & GB193:1 > GB065:1	consistent head-mod order Hawkins (1983)	"Hawkins 1979: 628, Hawkins 1980: 203, Hawkins 1983: 67"	Hawkins 1983	1978	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	14.080107	2.078364725	0.76899122	3.4824449	SIG	1.896803	1.576871	2.243588	SIG	1.6168418	-0.23879077	3.3917507	NOT SIG	14.6320595	4.311899	30.564082	NOT SIG	2.16851532	0.902116825	3.53901975	yes	NOT SIG
0072KA	72	72	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 71	NA	"If a language has Prep word order, then if the demonstrative determiner follows the noun, the adjective follows the noun."	Adp-N & N-Dem > N-Adj	Adp-N & N-Dem > N-Adj	narrow word order	word order	word order	GB074:1 & GB025:2 >  GB193:2	consistent head-mod order Hawkins (1983)	Hawkins 1983: 71	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	21.424611	1.503512	0.08772333	2.7490626	SIG	1.734819	1.50454	1.972201	SIG	1.366431	-0.08906529	2.6744806	NOT SIG	21.431304	13.184621	34.976091	SIG	1.607592468	0.117515475	2.832379	yes	SIG
0073KA	73	73	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 82	NA	"If the demonstrative determiner follows the noun, then the adjective follows the noun."	N-Dem > N-Adj	N-Dem > N-Adj	narrow word order	word order	word order	GB025:2 > GB193:2	"Adj N order is not correlated with other word orders, Dryer 1988"	Hawkins 1983: 82	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	"Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)"	perfect	perfect	87.807803	2.1262427	1.40375019	2.9179344	SIG	2.070244	1.854176	2.29415	SIG	2.2922095	1.2142522	3.4001363	SIG	88.106824	78.822829	98.101356	SIG	2.199629749	1.4739655	3.01764675	yes	SIG
0074KA	74	74	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 72	NA	"If a language has Prep word order, then if the numeral follows the noun, the adjective follows the noun."	Adp-N & N-Num > N-Adj	Adp-N & N-Num > N-Adj	narrow word order	word order	word order	GB074:1 & GB024:2 >  GB193:2	consistent head-mod order Hawkins (1983)	Hawkins 1983: 72	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	"Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)"	perfect	perfect	31.472411	1.89841287	0.64466831	3.2778334	SIG	1.772603	1.507719	2.037058	SIG	1.66423622	0.43941895	3.0293036	SIG	31.5215315	23.11241	39.777234	SIG	1.988148095	0.704288463	3.36008175	yes	SIG
0075KA	75	75	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 82	NA	"If a language has noun before numeral, then it has noun before adjective."	N-Num > N-Adj	N-Num > N-Adj	narrow word order	word order	word order	GB024:2 > GB193:2	"Adj N order is not correlated with other word orders, Dryer 1988"	Hawkins 1983: 82	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	"Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)"	perfect	perfect	91.445861	3.4923988	2.0118111	5.2945088	SIG	1.996131	1.780089	2.206792	SIG	2.8277008	1.56898178	4.2949886	SIG	87.157797	77.869631	105.099734	SIG	3.547890395	2.105944375	5.290742625	yes	SIG
0084KA	84	84	languages in Moravcsik 1974 Source Moravcsik 1974: 27	NA	"If in a language the verb agrees with anything, it agrees with some or all subjects."	verb agreement > agreement S	verb agr > agr S	hierarchy	agreement	agreement	(GB103:1 | GB104: 1 | GB093:1 | GB094:1) > (GB091:1 | GB092: 1)	NA	Moravcsik 1974: 27	Moravcsik 1974	143	38	biased against the Pacific/Papua/Australia	bias against the Pacific/Papua/Australia	"bias against the Pacific, PNG, Australia, and/or South America"	NA	"perfect, the issue here is what exactly is meant by ""all subjects"". Is it ""animate, inanimate, dummy etc""? - but this doesn""t matter for our implementation, the only effect could be that its missing out on some types of subject."	perfect	60.618177	2.5786219	1.24149418	3.985882	SIG	1.7528902	1.5328903	1.9705788	SIG	2.6438628	1.56984218	3.8371563	SIG	60.9220885	51.427416	77.071711	SIG	2.676998863	1.2326235	4.14770425	yes	SIG
0087KA	87	87	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 74	NA	"IF a language has Prep word order, then if the demonstrative follows the noun, the relative clause follows the noun."	Adp-N & N-Dem > N-Rel	Adp-N & N-Dem > N-Rel	narrow word order	word order	word order	GB074:1 & GB025:2 >  GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 74	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	20.920947	3.14187801	0.91482373	5.392875	SIG	3.056695	2.459876	3.74995	SIG	2.3456706	0.34125144	4.3914519	SIG	21.975707	15.551523	28.966224	SIG	3.174588641	0.92189015	5.448189375	yes	SIG
0088KA	88	88	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 83-84	n	"If a language has noun before demonstrative, then it has noun before relative clause."	N-Dem > N-Rel	N-Dem > N-Rel	narrow word order	word order	word order	GB025:2 > GB327:1	"Dem N order is not correlated with other word orders, Dryer 1988"	Hawkins 1983: 83-84	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	14.455561	1.4917885	-0.0325126	2.8385206	NOT SIG	1.769296	1.447082	2.114248	SIG	1.6974455	-0.07828132	3.5075628	NOT SIG	15.893443	10.033603	22.701229	SIG	1.524541409	-0.007300343	2.870957875	no	NOT SIG
0091KA	91	91	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 74	NA	"IF a language has Prep word order, then if the adjective follows the noun, the relative clause follows the noun."	Adp-N & N-Adj > N-Rel	Adp-N & N-Adj > N-Rel	narrow word order	word order	word order	GB074:1 & GB193:2 >  GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 74	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	17.344063	2.45304216	0.9584504	4.01259	SIG	2.706237	2.198722	3.253801	SIG	2.1176628	0.40174178	3.7610554	SIG	19.0099775	9.748822	31.451941	NOT SIG	2.561392443	1.094596875	4.10110125	yes	NOT SIG
0093KA	93	93	"? Source Greenberg, Osgood, & Jenkins 1963: xxi"	NA	"IF a language has pronominal gender in the 2nd person singular, THEN it has a greater probability of having this distinction in the 3rd person singular than of not having it."	gender 2SG > gender 3SG	gender 2SG > gender 3SG	hierarchy	gender	gender	GB196:1 > GB030:1	NA	"Greenberg, Osgood, & Jenkins 1963: xxi"	"Greenberg, Osgood, & Jenkins 1963"	109	NA	NA	NA	NA	observational	perfect	perfect	35.924072	4.46325414	2.61262796	6.9379067	SIG	3.017816	2.520169	3.575324	SIG	4.5602569	2.42342885	7.1427754	SIG	37.5323075	28.395151	51.2329	SIG	4.505994591	2.72553125	6.787947375	yes	SIG
0095aKA	95	95	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 86	a	"IF there are postpositions, THEN (IF adjectives precede nouns or relatives precede nouns, THEN demonstratives preced nouns and numerals precede nouns) and (IF demonstratives precede nouns or numerals precede nouns, THEN genitives precede nouns)."	N-Adp & (Adj-N | Rel-N) > Dem-N	N-Adp & (Adj-N|Rel-N) > Dem-N	narrow word order	word order	word order	GB075:1 & (GB193:1 |  GB328:1) > GB025:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 86	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	17.258231	1.694778431	0.78569289	2.5723974	SIG	2.248217	1.969741	2.543821	SIG	1.5615061	0.51792935	2.6784016	SIG	34.6288795	27.211112	54.849225	SIG	1.731761443	0.812044138	2.648135375	yes	SIG
0095bKA	95	95	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 86	b	"IF there are postpositions, THEN (IF adjectives precede nouns or relatives precede nouns, THEN demonstratives preced nouns and numerals precede nouns) and (IF demonstratives precede nouns or numerals precede nouns, THEN genitives precede nouns)."	N-Adp & (Adj-N | Rel-N) > Num-N	N-Adp & (Adj-N|Rel-N) > Num-N	narrow word order	word order	word order	GB075:1 & (GB193:1 |  GB328:1) > GB024:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 86	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	-1.002245	0.708380462	-0.4644139	1.8503685	NOT SIG	0.9042121	0.661345	1.149215	SIG	0.714018126	-0.87085785	2.24759793	NOT SIG	-4.664282	-15.351552	15.394427	NOT SIG	0.664263831	-0.481252375	1.7899385	no	NOT SIG
0096KA	96	96	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 111	NA	"IF there are postpositions, THEN (IF adjectives precede nouns or relatives precede nouns, THEN demonstratives preced nouns and numerals precede nouns and possessives preced nouns) and (IF demonstratives precede nouns or numerals precede nouns or possessives precede nouns, THEN genitives precede nouns)."	N-Adp & (Adj-N | Rel-N) > PossPron-N	N-Adp & (Adj-N|Rel-N) > Pron-N	narrow word order	word order	word order	GB075:1 & (GB193:1 |  GB328:1) > GB065:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 111	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	31.946563	2.0724238	1.10313278	3.0120292	SIG	2.662498	2.344937	2.994196	SIG	1.8526846	0.47748761	3.0517833	SIG	39.6826335	31.764819	46.105304	SIG	2.061681535	1.01639675	3.02685925	yes	SIG
0101KA	101	101	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 109	NA	"If the possessive adjective follows the noun, then the descriptive adjective follows the noun."	N-Gen > N-Adj	N-Gen > N-Adj	narrow word order	word order	word order	GB065:2 > GB193:2	"Adj N order is not correlated with other word orders, Dryer 1988"	Hawkins 1983: 109	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	5.677972	0.97880117	0.21100586	1.8103369	SIG	1.055924	0.8584397	1.2630063	SIG	0.7448495	-0.61654862	2.018172	NOT SIG	4.930712	-3.115687	18.828571	NOT SIG	1.022798503	0.180441388	1.932571375	yes	NOT SIG
0107aKA	107	107	"sample of 30 languages in Greenberg 1963; languages in Lehmann 1973 Source W. P. Lehmann 1971: 19, W. P. Lehmann 1972: 276-7, W. P. Lehmann 1973: 48; claimed also in Pinnow 1960: 96-97, Greenberg 1963: 85-90, Keenan 1978a: 115, Downing 1978: 383"	a	"Nominal modifiers (such as relative, adjectival, and attributive expressions) follow nouns in VO languages and precede nouns in OV languages"	VO > N-Rel	VO > N-Rel	narrow word order	word order	word order	(GB131:1 | GB132:1) & GB133:0 > GB327:1	BDT Dryer 1992	Greenberg 1963	Greenberg 1963	6329	30	"yes, definitely biased towards Eurasia/Europe"	bias towards Eurasia	bias towards Eurasia	NA	"OK, our implementation of VO/OV isn""t ideal"	OK	27.037285	2.1964903	0.79943984	3.7230473	SIG	2.637569	2.296415	2.988099	SIG	1.7355613	0.20836719	3.3476607	SIG	33.399752	25.58634	59.005706	SIG	2.357410421	0.960062688	3.86379275	yes	SIG
0107bKA	107	107	"sample of 30 languages in Greenberg 1963; languages in Lehmann 1973 Source W. P. Lehmann 1971: 19, W. P. Lehmann 1972: 276-7, W. P. Lehmann 1973: 48; claimed also in Pinnow 1960: 96-97, Greenberg 1963: 85-90, Keenan 1978a: 115, Downing 1978: 383"	b	"Nominal modifiers (such as relative, adjectival, and attributive expressions) follow nouns in VO languages and precede nouns in OV languages"	OV > Adj-N	OV > Adj-N	narrow word order	word order	word order	GB131:0 & (GB132:1 | GB133:1) > GB193:1	"Adj N order is not correlated with other word orders, Dryer 1988"	Greenberg 1963	Greenberg 1963	6329	30	"yes, definitely biased towards Eurasia/Europe"	bias towards Eurasia	bias towards Eurasia	"Dryer (1988: 200) has shown that  this correlation is weak at best (Dryer, Matthew S. 1988. ÔObject-Verb Order and Adjective-Noun Order: Dispelling a MythÕ. Lingua 74: 185_217.)"	"OK, our implementation of VO/OV isn""t ideal"	OK	4.765036	0.0239761	-1.3744501	1.6960727	NOT SIG	-0.2057004	-0.4729425	0.06716549	NOT SIG	1.0001106	-0.76008115	3.1518426	NOT SIG	4.7424585	-1.167651	20.329463	NOT SIG	0.032151587	-1.365585625	1.694558625	no	NOT SIG
0107cKA	107	107	"sample of 30 languages in Greenberg 1963; languages in Lehmann 1973 Source W. P. Lehmann 1971: 19, W. P. Lehmann 1972: 276-7, W. P. Lehmann 1973: 48; claimed also in Pinnow 1960: 96-97, Greenberg 1963: 85-90, Keenan 1978a: 115, Downing 1978: 383"	c	"Nominal modifiers (such as relative, adjectival, and attributive expressions) follow nouns in VO languages and precede nouns in OV languages"	VO > N-Gen	VO > N-Gen	narrow word order	word order	word order	(GB131:1 | GB132:1) & GB133:0 > GB065:2	BDT Dryer 1992	Greenberg 1963	Greenberg 1963	6329	30	"yes, definitely biased towards Eurasia/Europe"	bias towards Eurasia	bias towards Eurasia	NA	"OK, our implementation of VO/OV isn""t ideal"	OK	42.750239	2.0307149	0.48396474	3.6080886	SIG	2.5848116	2.3441792	2.8325063	SIG	2.875646	1.36927234	4.5717012	SIG	44.9925855	32.361265	56.290106	SIG	2.350032452	0.531946163	4.031218375	yes	SIG
0108KA	108	108	languages in Lehmann 1973 Source W. P. Lehmann 1973	NA	"In consistent OV languages, interrogative markers follow verbs, occupying final position in the sentence."	OV > Sent-Q	OV > Sent-Q	narrow word order	word order	word order	GB131:0 & (GB132:1 | GB133:1)  > GB263:1	BDT Dryer 1992	W. P. Lehmann 1973	W. P. Lehmann 1973	594	20	"yes, definitely biased towards Eurasia/Europe"	bias towards Eurasia	bias towards Eurasia	NA	"OK, our implementation of VO/OV isn""t ideal"	OK	7.94311	0.7702961	-0.5270705	1.9715939	NOT SIG	1.112609	0.818696	1.410114	SIG	0.7689189	-0.60573725	2.0484874	NOT SIG	19.4646445	10.780013	27.376175	SIG	0.832989756	-0.362621063	1.96798175	no	NOT SIG
0110KA	110	110	sample of 316 languages in Dryer 1988a Source Dryer 1988a : 200	NA	There is a clear tendency for Rel N languages to be Adj N and for N Rel languages to be N Adj.	N-Rel > N-Adj	N-Rel > N-Adj	narrow word order	word order	word order	GB327:1 > GB193:2	"Adj N order is not correlated with other word orders, Dryer 1988"	Dryer 1988a : 200	Dryer 1988a	246	316	quite diverse	no bias	no bias	NA	perfect	perfect	-3.105445	0.9021027	0.09003593	1.6654621	SIG	1.1906452	0.9151244	1.472772	SIG	1.20903899	0.45698778	2.0244325	SIG	-1.1630615	-6.403347	14.299774	NOT SIG	0.946534759	0.083962231	1.73657075	yes	NOT SIG
0116KA	116	116	30 languages of Greenberg 1963 sample Source inferred by Uspensky 1965: 211 from Greenberg 1963: 103	NA	"number is, as has been seen, closer to the stem and generally present when case is present, while the opposite relation holds far more rarely."	case > number	case > number	hierarchy	case	number	"sum(GB070:1,GB071:1,GB072:1,GB073:1) => 1 > sum(GB041:1,GB042:1,GB043:1,GB044:1,GB165:1,GB166:1,GB316:1,GB317:1,GB318:1,GB319:1,GB320:1) => 1"	NA	Uspensky 1965: 211 from Greenberg 1963: 103	Greenberg 1963	58	30	"classic greenberg 30 sample. Fairly okay, but IE overrepresented"	bias towards Eurasia	bias towards Eurasia	observational	"OK, there might be differences in the way the categories ""case"" and ""number"" are constructed in the universal and our implementation."	OK	9.762622	0.8948886	-0.36408231	2.1433801	NOT SIG	0.67094182	0.4948841	0.8541181	SIG	1.2412445	0.07016593	2.4233551	SIG	8.6121615	-7.498913	29.844949	NOT SIG	0.924209199	-0.312324	2.16612775	no	NOT SIG
0121KA	121	121	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 74	NA	"If a language is prepositional, then if the numeral follows the noun, the relative clause follows the noun."	Adp-N & N-Num > N-Rel	Adp-N & N-Num > N-Rel	narrow word order	word order	word order	GB074:1 & GB024:2 > GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 74	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	6.069802	1.59897807	-0.32015605	3.4838762	NOT SIG	2.607985	2.043861	3.284102	SIG	1.3404422	-0.99487706	3.323363	NOT SIG	8.8039675	1.485793	22.885538	NOT SIG	1.737709142	-0.319508425	3.671531375	no	NOT SIG
0125KA	125	125	languages in Hag?ge 1982 Source Hag?ge 1982: 936	NA	"If a language has both SOV in a full sentence and determining N+determined N in a Noun Phrase, then it has at least some postpositions, which historically come either from verbs (ex. Bengali), or from nouns (ex. Mande languages (W. Africa))."	SOV & Det-N > N-Adp	SOV & Det-N > N-Adp	narrow word order	word order	word order	GB131:0 & GB132:0 & GB133:1 & GB065:1 & GB203:1 > GB075:1	consistent head-mod order Hawkins (1983)	Hag?ge 1982: 936	Hag?ge 1982	4	250	There is a bit of European but also Eurasia bias.	bias towards Eurasia	bias towards Eurasia	NA	"OK, we can""t implement SOV (also including OSV in this implementation)"	OK	18.104396	1.9014228	0.51089731	3.1990374	SIG	2.674889	2.066826	3.340973	SIG	3.40692882	1.55965753	5.4085086	SIG	24.1390095	15.72305	40.101942	SIG	2.001648284	0.6176679	3.317153125	yes	SIG
0126nKA	126	126	sample of 350 languages in Hawkins 1983 Source Hawkins 1983: 85	n	"If a language has noun before numeral, then it has noun before relative clause."	N-Num > N-Rel	N-Num > N-Rel	narrow word order	word order	word order	GB024:2 > GB327:1	consistent head-mod order Hawkins (1983)	Hawkins 1983: 85	Hawkins 1983	1591	350	"yes, definitely biased towards Eurasia"	bias towards Eurasia	bias towards Eurasia	NA	perfect	perfect	-13.999601	0.06650418	-2.1287094	2.121448	NOT SIG	0.4823855	0.228863	0.7452144	SIG	1.050913	-1.13751217	3.3070726	NOT SIG	-12.808133	-21.053485	6.488228	NOT SIG	0.13901197	-1.977977625	2.187769625	no	NOT SIG
0144KA	144	144	European languages Source Linfer 1992	NA	"If a language has no adjective agreement, then the genitive will precede the noun."	no Adj Agr > Gen-N	no Adj Agr > Gen-N	broad word order	agreement	word order	GB170:0 & GB184:0 > GB065:1	NA	"Bakker, Dik. ""LINFER: inferring implications from the WALS database"" Language Typology and Universals, vol. 61, no. 3, 2008, pp. 186-198. https://protect-au.mimecast.com/s/LGGbCxng07Cjw4J4iwLgau?domain=doi.org"	LINFER	1	30	European languages only	exclusively samples one family or area	exclusively samples one family or area	NA	perfect	perfect	-1.566966	-0.1119655	-0.77580775	0.550495	NOT SIG	0.5868323	0.3938913	0.781912	SIG	0.28081813	-0.38327536	0.9772973	NOT SIG	-2.4711585	-9.89953	18.951892	NOT SIG	-0.01988823	-0.6196899	0.581640913	no	NOT SIG
0145KA	145	145	? Source Stassen 1992	NA	"SOV correlates positively with non-verbal status of predicative adjectives, whereas SVO and VSO have a tendency to favour verbal predicative adjectives."	SVO/VSO > V-like Pred Adj	SVO/VSO > V-like Pred Adj	broad word order	word order	other	(GB131:1 | GB132:1) & GB133:0 > GB068:1	NA	Stassen 1992	Stassen 1992	19	200	Australia and South America are undersampled	bias against Australia/South America	"bias against the Pacific, PNG, Australia, and/or South America"	NA	"OK, we don""t track the order of S and O in our implementation"	OK	6.132657	0.36255922	-1.1155576	1.557542	NOT SIG	0.8351771	0.6343419	1.0318872	SIG	0.42323298	-0.75163524	1.5370811	NOT SIG	2.98412	-3.730347	11.935247	NOT SIG	0.479358714	-0.983144063	1.645109125	no	NOT SIG
